"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Digikey","Footprint","Datasheet","Description"
"SW1","1","SW_SPST","","","","2223-TS02-66-43-BK-160-LCR-D-ND","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~",""
"C1,C2,C5,C13,C16,C24,C27,C35,C38,C46,C49,C57,C60,C68","14","1uF","","","","399-C0402C105K9PACTUCT-ND","Capacitor_SMD:C_0402_1005Metric","~",""
"C3,C4,C6,C7,C8,C9,C10,C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C25,C26,C28,C29,C30,C31,C32,C33,C34,C36,C37,C39,C40,C41,C42,C43,C44,C45,C47,C48,C50,C51,C52,C53,C54,C55,C56,C58,C59,C61,C62,C63,C64,C65,C66,C67","54","100nF","","","","1276-1043-1-ND","Capacitor_SMD:C_0402_1005Metric","~",""
"J15","1","Conn_02x24_Odd_Even","","Excluded from BOM","","","Connector_PinHeader_2.54mm:PinHeader_2x24_P2.54mm_Vertical","~","Generic connector, double row, 02x24, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J1,J3,J5,J7,J9,J11","6","Conn_01x04_Pin","","Excluded from BOM","","","Import:SaleaeTestpoint4","~","Generic connector, single row, 01x04, script generated"
"J2,J4,J6,J8,J10,J12","6","USB_C_Receptacle_USB2.0_16P","","","","2223-UJ20-C-H-G-SMT-1-P16-TRCT-ND","Import:SAMESKY_UJ20-C-H-G-SMT-1-P16-TR","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB 2.0-only 16P Type-C Receptacle connector"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","","MountingHole:MountingHole_3.2mm_M3_Pad","~","Mounting Hole with connection"
"X1","1","ASE-12.000MHz-E-T","","","","535-ASE-12.000MHZ-E-TCT-ND","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf",""
"U3,U4,U5,U6,U7,U8","6","RP2040","","","","2648-SC0914(13)CT-ND","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf",""
"U2","1","W25Q16JVSS","","","","256-W25Q16JVSSIQTRCT-ND","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf",""
"U9","1","TLV74033PDBVR","","","","296-TLV74033PDBVRCT-ND","Package_TO_SOT_SMD:SOT-23-5","","300mA Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5"
"R1","1","10kΩ","DNP","","","311-10KJRCT-ND","Resistor_SMD:R_0402_1005Metric","~",""
"R2","1","10kΩ","","","","311-10KJRCT-ND","Resistor_SMD:R_0402_1005Metric","~",""
"R3,R4,R7,R8,R11,R12,R15,R16,R19,R20,R23,R24","12","27Ω","","","","YAG5278CT-ND","Resistor_SMD:R_0402_1005Metric","~",""
"R5,R6,R9,R10,R13,R14,R17,R18,R21,R22,R25,R26","12","5.11kΩ","","","","RMCF0402FT5K11CT-ND","Resistor_SMD:R_0402_1005Metric","~",""
"R27,R28,R29,R30,R31","5","7.15kΩ","","","","YAG3235CT-ND","Resistor_SMD:R_0402_1005Metric","~",""
